X	Y	Z	Layer
-39.895244	16.533713	442.655989	1
-39.711990	17.017197	442.669036	1
-39.529138	17.500940	442.676063	1
-39.346899	17.984964	442.674473	1
-39.164857	18.469062	442.670190	1
-38.982822	18.953163	442.665928	1
-38.800795	19.437267	442.661690	1
-38.618771	19.921372	442.657458	1
-38.436820	20.405506	442.653434	1
-38.254930	20.889665	442.649582	1
-38.073053	21.373829	442.645764	1
-37.889750	21.857441	442.640671	1
-37.705524	22.340694	442.634749	1
-37.521183	22.823903	442.628725	1
-37.331026	23.304724	442.617452	1
-37.137851	23.784303	442.603455	1
-36.944556	24.263837	442.589574	1
-36.750743	24.743208	442.577477	1
-36.556680	25.222501	442.566238	1
-36.362443	25.701737	442.555603	1
-36.167475	26.180723	442.547508	1
-35.972176	26.659595	442.540567	1
-35.777479	27.138720	442.534168	1
-35.584322	27.618482	442.529151	1
-35.391809	28.098511	442.524712	1
-35.200163	28.578893	442.521050	1
-35.010050	29.059890	442.518758	1
-34.820511	29.541118	442.516980	1
-34.629850	30.021903	442.515502	1
-34.437718	30.502103	442.514416	1
-34.245116	30.982115	442.513457	1
-34.051074	31.461547	442.512883	1
-33.855570	31.940385	442.512702	1
-33.659693	32.419072	442.512620	1
-33.463269	32.897534	442.512498	1
-33.266400	33.375813	442.512343	1
-33.069452	33.854060	442.512183	1
-32.872218	34.332189	442.512002	1
-32.674792	34.810238	442.511807	1
-32.477279	35.288252	442.511721	1
-32.277880	35.765466	442.514524	1
-32.077390	36.242218	442.518999	1
-31.877037	36.719027	442.523506	1
-31.677515	37.196182	442.528209	1
-31.478445	37.673525	442.533019	1
-31.280711	38.151423	442.537710	1
-31.087349	38.631102	442.542017	1
-30.896178	39.111670	442.546132	1
-30.705605	39.592480	442.549472	1
-30.516336	40.073813	442.551125	1
-30.327652	40.555379	442.552021	1
-30.140385	41.037494	442.551092	1
-29.955389	41.520472	442.547246	1
-29.771272	42.003778	442.542273	1
-29.587343	42.487160	442.537825	1
-29.403648	42.970637	442.534028	1
-29.220026	43.454144	442.530433	1
-29.036970	43.937872	442.528405	1
-28.854482	44.421820	442.527948	1
-28.672124	44.905818	442.527848	1
-28.488725	45.389422	442.527399	1
-28.304458	45.872696	442.526659	1
-28.120079	46.355926	442.525880	1
-27.931220	46.837401	442.523590	1
-27.739188	47.317632	442.520230	1
-27.546805	47.797721	442.516891	1
-27.351576	48.276657	442.513968	1
-27.154489	48.754839	442.511317	1
-26.956293	49.232563	442.508828	1
-26.753314	49.708263	442.507043	1
-26.547476	50.182750	442.505678	1
-26.342477	50.657595	442.503482	1
-26.139762	51.133400	442.499028	1
-25.938268	51.609716	442.493367	1
-25.737374	52.086277	442.487114	1
-25.537653	52.563314	442.479708	1
-25.338474	53.040570	442.471770	1
-25.096318	53.495431	442.458376	1
-24.791724	53.911671	442.436873	1
-24.465279	54.312104	442.412465	1
-24.125827	54.701304	442.416002	1
-23.771785	55.076366	442.452520	1
-23.414066	55.447130	442.498134	1
-23.490144	55.636398	442.704618	1
-23.919624	55.612043	442.989135	1
-24.354443	55.574325	443.266657	1
-24.789262	55.536606	443.544179	1
-25.224080	55.498888	443.821701	1
-25.658899	55.461169	444.099223	1
-26.093718	55.423451	444.376745	1
-26.528536	55.385732	444.654268	1
-26.963355	55.348013	444.931790	1
-27.398174	55.310295	445.209312	1
-27.832992	55.272576	445.486834	1
-28.267811	55.234858	445.764356	1
-28.702630	55.197139	446.041878	1
-29.137448	55.159421	446.319400	1
-29.572267	55.121702	446.596922	1
-30.007086	55.083984	446.874444	1
-30.441905	55.046265	447.151966	1
-30.876723	55.008547	447.429488	1
-31.311542	54.970828	447.707010	1
-31.746361	54.933110	447.984533	1
-32.181179	54.895391	448.262055	1
-32.615998	54.857672	448.539577	1
-33.050817	54.819954	448.817099	1
-33.291088	54.422395	448.900993	1
-33.453503	53.931892	448.916814	1
-33.611149	53.439446	448.929156	1
-33.768795	52.946999	448.941499	1
-33.926441	52.454552	448.953841	1
-34.100484	51.967579	448.958793	1
-34.282598	51.483497	448.960077	1
-34.466154	50.999953	448.960701	1
-34.653045	50.517690	448.959798	1
-34.840416	50.035612	448.958674	1
-35.029588	49.554240	448.957144	1
-35.220341	49.073492	448.955257	1
-35.411296	48.592825	448.953325	1
-35.603426	48.112628	448.951127	1
-35.795746	47.632507	448.948886	1
-35.985483	47.151357	448.947352	1
-36.171201	46.668642	448.946914	1
-36.356325	46.185695	448.946638	1
-36.541061	45.702600	448.946442	1
-36.725656	45.219451	448.946275	1
-36.906683	44.734956	448.946242	1
-37.076809	44.246545	448.946614	1
-37.245128	43.757488	448.947052	1
-37.413447	43.268431	448.947490	1
-37.581766	42.779374	448.947928	1
-37.751338	42.290750	448.948380	1
-37.932683	41.806401	448.948967	1
-38.116182	41.322834	448.949578	1
-38.301187	40.839843	448.950207	1
-38.487881	40.357502	448.950855	1
-38.674847	39.875266	448.951507	1
-38.856517	39.391016	448.951023	1
-39.036784	38.906236	448.950239	1
-39.216901	38.421401	448.949422	1
-39.396860	37.936506	448.948567	1
-39.576790	37.451601	448.947705	1
-39.756050	36.966453	448.945391	1
-39.934976	36.481186	448.942355	1
-40.113862	35.995904	448.939232	1
